Time,Px,Py,Pz,Theta 1,Theta 2,Theta 3,Theta-dot 1,Theta-dot 2,Theta-dot 3
0,3.0,0.01,0.0,85.8897389790859,-171.3975075094524,0.0,0,0,0
0.01,2.891304347826087,0.01,0.0,86.05303692087429,-171.70974371416503,0.0,0.2854524666942258,-0.5449003826825275,0
0.02,2.6739130434782608,0.01,0.0,86.38129244970918,-172.33403309939018,0.0,0.5750976127376427,-1.0893857117792778,0
0.03,2.4565217391304346,0.01,0.0,86.71228515974431,-172.95809398334686,0.0,0.5805257060084015,-1.0890031110864664,0
0.04,2.2391304347826084,0.01,0.0,87.04685481133592,-173.5819448974027,0.0,0.5876849154541973,-1.0886527368690893,0
0.05,2.0217391304347823,0.01,0.0,87.38619828195013,-174.2056042274859,0.0,0.5973511889758886,-1.0883343015828213,0
0.060000000000000005,1.804347826086956,0.01,0.0,87.73208470599124,-174.8290901653967,0.0,0.610794767129871,-1.0880474029656548,0
0.07,1.58695652173913,0.01,0.0,88.08724742768845,-175.45242061586956,0.0,0.6302124156581418,-1.0877914158970188,0
0.08,1.3695652173913038,0.01,0.0,88.45614920697545,-176.07561301027067,0.0,0.6596746603070041,-1.0875652554863033,0
0.09,1.1521739130434776,0.01,0.0,88.8466135897912,-176.69868390367833,0.0,0.7074304103862107,-1.087366800742035,0
0.09999999999999999,0.9347826086956514,0.01,0.0,89.27373221645989,-177.32164800281865,0.0,0.7923503001158292,-1.087191283288173,0
0.10999999999999999,0.7173913043478253,0.01,0.0,89.77087442779911,-177.94451541789812,0.0,0.9658367206583467,-1.0870258081112059,0
0.11999999999999998,0.49999999999999917,0.01,0.0,90.42940370565952,-178.56728173496867,0.0,1.4126296009038877,-1.0868241410493538,0
0.12999999999999998,0.28260869565217306,0.01,0.0,91.62147975483518,-179.18987228711234,0.0,3.2616416657611866,-1.0863038336627175,0
0.13999999999999999,0.06521739130434695,0.01,0.0,98.62294810083199,-179.8109822724644,0.0,50.47423650866489,-1.074401194835588,0
0.15,-0.15217391304347916,0.01,0.0,266.02181080366495,-179.56311251933772,0.0,8.805077119957392,1.0846250397665111,0
0.16,-0.36956521739130527,0.01,0.0,267.92045734783756,-178.94087104171322,0.0,1.0472283327240108,1.086605228335021,0
0.17,-0.5869565217391314,0.01,0.0,268.1830386272387,-178.318189030623,0.0,0.08736033734040542,1.0869158653850544,0
0.18000000000000002,-0.8043478260869574,0.01,0.0,268.1354006809083,-177.69537978292811,0.0,-0.20758642683166742,1.0870923728960848,0
0.19000000000000003,-1.0217391304347836,0.01,0.0,267.9754878864581,-177.0724743718893,0.0,-0.3354105527240865,1.0872592592221162,0
0.20000000000000004,-1.2391304347826098,0.01,0.0,267.7623576077636,-176.44946912529116,0.0,-0.4021487305840946,1.0874430710139784,0
0.21000000000000005,-1.456521739130436,0.01,0.0,267.5198079385294,-175.82635153283874,0.0,-0.44135824000381785,1.0876522420020187,0
0.22000000000000006,-1.673913043478262,0.01,0.0,267.25927057922695,-175.2031059647499,0.0,-0.4663630940066193,1.0878901561873666,0
0.23000000000000007,-1.8913043478260883,0.01,0.0,266.9869173426723,-174.57971544340467,0.0,-0.48330669394514697,1.0881584111526907,0
0.24000000000000007,-2.0000000000000013,0.01,0.0,266.8475036526389,-174.26796032583206,0.0,-0.24490281644795678,0.5441521003211889,0
0.25000000000000006,-2.0,0.01,0.0,266.847503652639,-174.26796032583206,0.0,0.0,0.0,0